날짜,시간,이벤트,사용자,IP
250703,072433,logout,user9489,192.168.57.95
250715,093135,error,user5938,192.168.248.196
250718,092310,login,user4633,192.168.242.44
250731,144216,update,user6824,192.168.238.239
250722,001615,error,user1179,192.168.26.132
250731,030540,login,user9192,192.168.99.114
250721,205152,update,user8616,192.168.227.92
250731,075805,login,user4991,192.168.36.177
250718,160952,file_access,user9667,192.168.97.126
250722,014021,file_access,user2587,192.168.11.96
250721,094741,login,user3972,192.168.165.33
250720,090421,logout,user5965,192.168.178.236
250719,200420,update,user3698,192.168.69.233
250725,221908,file_access,user5562,192.168.226.182
250727,083308,file_access,user2752,192.168.192.248
250712,034101,login,user3432,192.168.131.79
250713,114239,update,user6332,192.168.187.172
250722,093455,error,user2997,192.168.27.161
250709,143606,error,user4434,192.168.177.145
250717,220649,file_access,user5333,192.168.202.47
250728,144828,logout,user1934,192.168.153.155
250715,231135,logout,user5705,192.168.19.2
250731,155319,error,user1817,192.168.121.16
250728,032314,update,user3903,192.168.172.235
250711,041642,file_access,user4159,192.168.166.47
250708,061220,error,user6665,192.168.205.7
250729,014412,error,user2263,192.168.150.223
250712,021846,error,user2789,192.168.213.142
250727,202640,error,user3904,192.168.72.40
250713,175315,logout,user4115,192.168.67.5
250728,123019,error,user9289,192.168.172.163
250726,013907,file_access,user6683,192.168.66.249
250714,142300,file_access,user1818,192.168.28.14
250712,193355,error,user1298,192.168.254.160
250724,074530,file_access,user2727,192.168.31.244
250716,050610,file_access,user6872,192.168.112.70
250729,051904,file_access,user3655,192.168.27.56
250721,214110,file_access,user7205,192.168.22.35
250731,225350,error,user1757,192.168.191.55
250713,095016,file_access,user5489,192.168.30.27
250726,090443,update,user3046,192.168.118.92
250729,145956,update,user6893,192.168.82.96
250719,131645,logout,user8830,192.168.93.190
250730,194603,update,user9438,192.168.99.33
250706,235318,file_access,user2112,192.168.150.102
250710,013958,login,user5681,192.168.29.28
250729,023827,update,user1771,192.168.152.6
250730,065207,logout,user1400,192.168.249.142
250725,061225,update,user1903,192.168.95.139
250726,031006,error,user7251,192.168.78.94
250725,074830,file_access,user3517,192.168.38.218
250715,163702,login,user2178,192.168.182.123
250708,120528,login,user3158,192.168.163.168
250727,053437,logout,user6408,192.168.206.115
250719,003457,update,user3233,192.168.72.8
250721,053130,update,user7029,192.168.218.244
250704,192713,error,user6057,192.168.11.145
250708,122511,file_access,user8048,192.168.123.191
250719,223731,logout,user7329,192.168.145.155
250713,085758,login,user8750,192.168.194.186
250714,120923,login,user4377,192.168.34.57
250722,000506,error,user7203,192.168.179.44
250726,152012,error,user5055,192.168.233.2
250701,225137,file_access,user2285,192.168.61.182
250708,200058,logout,user8139,192.168.145.195
250707,185404,logout,user1554,192.168.221.114
250719,042957,login,user4672,192.168.236.44
250707,211607,file_access,user4248,192.168.194.133
250706,091420,update,user2172,192.168.66.111
250707,050606,update,user3463,192.168.15.168
250717,143117,login,user8457,192.168.43.24
250722,171801,login,user2392,192.168.183.98
250707,143202,error,user8573,192.168.241.224
250710,140710,update,user3593,192.168.10.44
250714,173205,update,user7542,192.168.219.228
250706,222450,update,user1990,192.168.237.122
250710,024124,error,user3063,192.168.72.152
250724,113006,file_access,user7031,192.168.111.191
250725,122356,logout,user3518,192.168.141.120
250710,220145,logout,user5298,192.168.58.230
250706,004357,update,user8605,192.168.180.72
250708,074553,update,user8722,192.168.17.240
250723,231624,logout,user1521,192.168.216.155
250711,171524,login,user7404,192.168.70.165
250701,080326,logout,user2656,192.168.106.212
250720,171950,error,user6768,192.168.30.61
250714,032321,login,user6617,192.168.85.244
250703,220243,file_access,user3238,192.168.109.5
250718,134353,login,user3311,192.168.142.150
250701,002301,update,user6832,192.168.45.88
250703,122520,file_access,user2734,192.168.91.201
250730,084506,logout,user5274,192.168.44.32
250726,140958,update,user2701,192.168.167.14
250711,222637,error,user4179,192.168.179.18
250712,011849,logout,user2693,192.168.238.221
250724,143506,file_access,user9673,192.168.64.179
250731,175601,update,user2334,192.168.140.62
250727,033149,error,user3793,192.168.139.36
250708,132018,update,user8095,192.168.39.229
250710,204439,update,user2100,192.168.215.62
250730,192256,error,user7218,192.168.68.88
250726,131043,update,user5791,192.168.136.245
250712,192054,error,user3994,192.168.230.91
250714,232216,error,user7615,192.168.49.248
250723,045954,logout,user1736,192.168.207.124
250722,235440,file_access,user6862,192.168.150.65
250717,150611,login,user5583,192.168.158.85
250721,160002,file_access,user3054,192.168.155.75
250703,074502,logout,user1846,192.168.217.202
250723,064942,logout,user9405,192.168.8.221
250705,095833,file_access,user1468,192.168.43.217
250713,094535,logout,user9158,192.168.50.11
250704,041121,update,user4535,192.168.107.172
250719,155707,update,user3272,192.168.14.25
250712,054823,file_access,user8505,192.168.21.145
250718,133033,file_access,user3196,192.168.43.7
250701,042957,logout,user2652,192.168.214.241
250721,120125,logout,user7370,192.168.177.220
250715,070324,error,user7574,192.168.161.227
250716,150035,file_access,user9156,192.168.139.232
250701,212114,file_access,user9941,192.168.166.20
250731,053123,file_access,user1659,192.168.42.141
250720,155519,error,user3750,192.168.252.178
250730,114218,file_access,user2319,192.168.242.40
250714,081931,error,user9362,192.168.189.167
250705,121929,file_access,user9806,192.168.77.112
250725,222723,login,user7865,192.168.29.199
250721,043412,file_access,user9894,192.168.242.117
250721,143738,file_access,user7037,192.168.188.75
250714,224344,logout,user1799,192.168.81.213
250719,173605,error,user8006,192.168.122.223
250709,143451,file_access,user7060,192.168.23.211
250722,191921,login,user1006,192.168.31.75
250701,203654,update,user7968,192.168.40.246
250706,024549,update,user4649,192.168.126.119
250702,111603,logout,user5954,192.168.60.152
250716,190619,error,user4075,192.168.147.101
250701,031439,login,user6621,192.168.135.80
250719,124214,file_access,user3164,192.168.203.63
250706,011525,logout,user4975,192.168.4.58
250715,063829,error,user3124,192.168.37.44
250719,085300,logout,user5199,192.168.208.109
250721,225055,file_access,user1049,192.168.215.66
250705,135808,login,user6812,192.168.181.154
250720,012435,login,user1629,192.168.221.146
250723,071856,error,user7841,192.168.136.233
250708,220654,file_access,user2047,192.168.104.152
250709,214518,error,user6633,192.168.2.180
250706,175716,logout,user2272,192.168.169.186
250726,042003,error,user9580,192.168.69.215
250712,141404,update,user6604,192.168.48.175
250705,013759,update,user3888,192.168.148.121
250718,223216,update,user8743,192.168.221.17
250711,061232,update,user7431,192.168.191.216
250710,054637,logout,user5212,192.168.91.148
250707,104239,logout,user1306,192.168.74.232
250720,201326,file_access,user8732,192.168.207.15
250720,055749,login,user6694,192.168.111.144
250705,114013,logout,user4904,192.168.6.27
250701,033518,login,user3936,192.168.131.219
250711,113903,error,user4010,192.168.204.125
250711,004108,login,user5812,192.168.233.175
250725,081928,file_access,user9520,192.168.246.248
250714,122108,update,user5630,192.168.7.144
250720,144905,error,user6696,192.168.133.110
250720,013641,error,user1378,192.168.94.71
250715,201557,file_access,user8733,192.168.86.78
250710,073339,error,user7830,192.168.36.63
250717,161925,logout,user7880,192.168.62.156
250711,232647,error,user3593,192.168.115.181
250710,120356,logout,user9503,192.168.68.52
250704,090129,login,user1477,192.168.132.38
250718,233028,login,user6566,192.168.56.230
250708,142235,login,user7628,192.168.37.199
250706,025722,login,user3172,192.168.213.46
250731,070425,login,user3143,192.168.44.238
250713,140253,file_access,user3009,192.168.3.48
250726,172854,login,user5384,192.168.50.227
250715,191452,file_access,user9041,192.168.80.57
250722,203145,update,user5392,192.168.124.89
250725,170503,login,user5955,192.168.40.210
250718,060903,error,user7276,192.168.213.201
250728,054050,logout,user6869,192.168.105.67
250724,040118,logout,user4173,192.168.247.64
250703,102330,error,user8606,192.168.151.225
250727,152854,logout,user7131,192.168.174.229
250714,044337,login,user5603,192.168.4.178
250724,000534,login,user7988,192.168.207.150
250701,135503,logout,user4153,192.168.221.29
250725,180109,file_access,user2723,192.168.121.76
250709,022753,file_access,user9760,192.168.17.209
250721,112934,logout,user3966,192.168.198.66
250725,040120,update,user4949,192.168.81.189
250709,015658,update,user2623,192.168.35.238
250725,035246,update,user5076,192.168.0.10
250707,013017,file_access,user5533,192.168.233.70
250731,122209,update,user8959,192.168.152.243
250714,061742,file_access,user7876,192.168.196.2
250728,090312,login,user2397,192.168.100.31
250728,015852,file_access,user2730,192.168.18.91
250709,115113,error,user8103,192.168.203.201
250719,221911,logout,user3410,192.168.124.103
250721,131736,file_access,user3972,192.168.57.165
250706,031652,logout,user9896,192.168.121.228
250721,054651,login,user7587,192.168.3.59
250707,164942,error,user3340,192.168.35.221
250725,070754,error,user6791,192.168.79.33
250716,065521,login,user9724,192.168.4.74
250714,074804,logout,user1223,192.168.173.197
250725,161213,update,user9135,192.168.49.247
250715,020649,file_access,user3125,192.168.174.173
250727,065531,error,user9782,192.168.165.191
250716,064434,login,user7519,192.168.231.82
250715,164445,update,user4108,192.168.33.28
250724,233113,update,user1894,192.168.224.254
250721,180808,file_access,user9868,192.168.246.105
250720,094210,error,user8999,192.168.213.23
250709,182203,file_access,user4878,192.168.77.156
250710,185001,update,user4024,192.168.170.76
250707,183301,update,user4090,192.168.148.169
250716,220423,login,user3934,192.168.49.22
250723,164303,logout,user8136,192.168.113.182
250704,014405,login,user5251,192.168.24.250
250712,060325,login,user9771,192.168.30.164
250715,143814,login,user2062,192.168.204.149
250722,001908,file_access,user9370,192.168.135.31
250729,095458,file_access,user7866,192.168.174.99
250726,232812,file_access,user9863,192.168.167.85
250701,231728,login,user6763,192.168.137.179
250724,085557,error,user5522,192.168.2.146
250728,113108,file_access,user3286,192.168.235.14
250712,205556,file_access,user4491,192.168.141.135
250728,091105,login,user3068,192.168.76.188
250726,072713,logout,user2511,192.168.178.70
250708,030520,logout,user4386,192.168.180.123
250705,025207,logout,user6048,192.168.195.48
250730,184449,update,user7258,192.168.17.129
250724,001710,logout,user6534,192.168.114.220
250704,061027,login,user7390,192.168.153.234
250707,040419,update,user4285,192.168.157.145
250728,194045,update,user2563,192.168.46.107
250728,083743,logout,user9610,192.168.234.48
250703,040738,update,user2720,192.168.184.24
250723,104153,file_access,user6548,192.168.185.170
250721,002412,file_access,user5133,192.168.224.139
250724,190145,login,user4324,192.168.46.47
250708,200630,login,user5611,192.168.193.152
250717,050123,error,user5800,192.168.24.93
250706,060932,update,user8414,192.168.155.147
250724,125252,login,user9022,192.168.218.102
250720,030155,file_access,user6672,192.168.55.170
250709,064325,error,user9537,192.168.110.202
250705,022413,login,user9742,192.168.76.0
250728,225318,login,user9469,192.168.140.2
250731,002436,login,user5351,192.168.213.6
250710,003147,login,user7505,192.168.30.236
250726,120955,login,user2142,192.168.132.210
250706,002654,logout,user1204,192.168.70.213
250720,131807,error,user6682,192.168.193.212
250719,222246,error,user4250,192.168.160.124
250711,153110,login,user8129,192.168.185.255
250728,212917,logout,user5438,192.168.223.211
250702,212628,logout,user7609,192.168.112.87
250716,092142,file_access,user3050,192.168.200.122
250727,113521,logout,user3648,192.168.121.191
250701,103145,error,user4126,192.168.162.68
250731,211033,update,user7485,192.168.101.41
250712,220657,logout,user4214,192.168.15.12
250704,073505,login,user5923,192.168.199.84
250713,032122,error,user3819,192.168.61.32
250701,151942,update,user4402,192.168.126.187
250718,114454,update,user5597,192.168.121.115
250726,011842,login,user9252,192.168.7.196
250706,232207,file_access,user1122,192.168.39.193
250706,152232,logout,user3365,192.168.174.253
250703,113935,update,user8051,192.168.131.208
250726,004402,logout,user5553,192.168.41.95
250705,042150,update,user5193,192.168.19.83
250725,204441,error,user3647,192.168.63.63
250728,041340,file_access,user1619,192.168.114.94
250709,001355,file_access,user7055,192.168.71.79
250731,111243,login,user3125,192.168.55.141
250727,224552,logout,user7649,192.168.95.7
250731,160135,login,user7826,192.168.129.86
250703,205207,logout,user9151,192.168.62.143
250709,223051,file_access,user2203,192.168.30.194
250702,141333,update,user6355,192.168.160.16
250711,040534,update,user8113,192.168.141.6
250727,192614,login,user6193,192.168.215.105
250727,174558,login,user8332,192.168.236.219
250731,033342,logout,user8476,192.168.157.31
250717,030226,update,user7047,192.168.96.130
250730,094357,login,user6286,192.168.161.40
250707,074313,error,user5598,192.168.119.152
250724,032015,logout,user4132,192.168.173.79
250723,171151,update,user5795,192.168.93.184
250719,080942,file_access,user2321,192.168.7.187
250725,120158,logout,user1728,192.168.181.14
250730,030031,logout,user2352,192.168.12.144
250710,180005,logout,user2361,192.168.188.109
250722,153430,logout,user6446,192.168.180.245
250715,200533,logout,user5790,192.168.255.57
250705,013535,error,user6424,192.168.239.48
250724,073323,error,user1963,192.168.31.57
250710,232135,error,user4220,192.168.90.162
250713,104848,error,user2968,192.168.24.204
250711,175608,update,user3746,192.168.157.43
250710,234717,file_access,user6010,192.168.125.147
250731,041657,logout,user9745,192.168.181.134
250730,043639,login,user5480,192.168.245.66
250727,123315,login,user4562,192.168.108.155
250711,111603,login,user3734,192.168.69.75
250707,174736,error,user4255,192.168.18.29
250704,195010,file_access,user9589,192.168.33.191
250706,225155,error,user9962,192.168.68.254
250724,054330,error,user1306,192.168.200.101
250723,200527,file_access,user8739,192.168.47.178
250724,054809,logout,user3391,192.168.56.82
250714,154731,login,user2606,192.168.225.218
250721,200118,update,user5100,192.168.142.59
250716,081424,update,user2631,192.168.159.209
250704,194935,login,user6708,192.168.74.122
250722,172318,update,user9912,192.168.83.235
250712,161823,update,user3142,192.168.119.58
250719,083846,update,user1589,192.168.31.117
250718,163551,file_access,user1602,192.168.89.250
250729,103832,error,user4196,192.168.53.213
250720,081524,error,user9608,192.168.95.243
250714,202553,login,user7467,192.168.55.191
250716,052646,login,user9761,192.168.250.153
250715,014548,file_access,user6939,192.168.119.136
250725,014804,error,user9407,192.168.231.117
250705,061815,update,user1248,192.168.8.187
250718,150033,error,user5379,192.168.213.72
250702,052902,logout,user8149,192.168.21.225
250721,190614,file_access,user4877,192.168.159.103
250723,043720,login,user9743,192.168.44.32
250701,101131,update,user9235,192.168.125.211
250701,212654,file_access,user7584,192.168.176.34
250721,152215,error,user1313,192.168.128.116
250713,162452,update,user6515,192.168.151.85
250720,150446,login,user1037,192.168.183.199
250701,115802,file_access,user1996,192.168.113.146
250714,142226,logout,user1751,192.168.93.19
250723,195618,file_access,user1858,192.168.30.77
250701,220015,login,user3150,192.168.129.168
250714,080235,error,user8409,192.168.101.158
250714,014952,logout,user6704,192.168.122.199
250715,151038,error,user6004,192.168.166.246
250716,235441,file_access,user7330,192.168.80.88
250723,110003,file_access,user2755,192.168.153.96
250704,034726,update,user4814,192.168.249.106
250724,073813,error,user6917,192.168.142.199
250718,200359,file_access,user8806,192.168.253.18
250718,003550,login,user9741,192.168.74.252
250728,054730,file_access,user4772,192.168.106.196
250706,223628,logout,user9502,192.168.191.0
250716,132549,error,user6370,192.168.207.182
250722,044445,login,user9267,192.168.188.117
250712,065548,update,user7611,192.168.190.14
250714,152708,logout,user9856,192.168.117.37
250705,125926,logout,user1100,192.168.130.113
250714,195658,logout,user1240,192.168.193.89
250719,071649,file_access,user9476,192.168.199.108
250718,102204,login,user4582,192.168.70.149
250710,060327,file_access,user6130,192.168.73.207
250701,043204,update,user2621,192.168.253.186
250722,134150,logout,user4615,192.168.200.252
250715,154519,update,user7363,192.168.212.144
250725,221926,login,user1727,192.168.62.56
250719,085730,error,user5184,192.168.158.170
250711,134311,update,user2387,192.168.67.56
250718,081622,login,user3063,192.168.119.117
250729,020819,logout,user3694,192.168.196.145
250718,141624,file_access,user4724,192.168.129.87
250728,171514,login,user1706,192.168.99.207
250706,222933,error,user1381,192.168.233.73
250719,054734,login,user9550,192.168.32.109
250725,031548,logout,user6093,192.168.175.98
250725,011441,update,user3227,192.168.209.246
250703,223611,error,user5748,192.168.88.255
250704,115841,file_access,user6105,192.168.127.252
250707,031312,file_access,user7826,192.168.227.225
250712,021404,error,user2247,192.168.112.87
250725,200542,file_access,user5655,192.168.253.66
250704,022858,error,user8871,192.168.129.197
250716,032911,error,user4984,192.168.33.39
250716,062732,logout,user6795,192.168.44.47
250702,225551,login,user4917,192.168.158.61
250709,030203,login,user1816,192.168.181.127
250731,183357,update,user6641,192.168.126.56
250707,064705,file_access,user2654,192.168.16.198
250731,222452,update,user4844,192.168.72.229
250724,143441,file_access,user4002,192.168.12.189
250705,193749,login,user2393,192.168.107.185
250721,181905,file_access,user6045,192.168.197.100
250724,225719,login,user9595,192.168.178.18
250724,133739,error,user7478,192.168.241.161
250731,212149,error,user8595,192.168.47.18
250723,064207,file_access,user1998,192.168.79.179
250724,210351,logout,user7989,192.168.88.3
250723,024518,file_access,user5780,192.168.112.214
250708,111916,error,user9024,192.168.19.92
250731,080942,logout,user4761,192.168.19.227
250714,232325,login,user6975,192.168.247.164
250728,081215,error,user5340,192.168.250.14
250723,194754,update,user3003,192.168.65.216
250721,091011,login,user2043,192.168.181.219
250708,221200,error,user9935,192.168.40.229
250712,094357,logout,user1024,192.168.59.45
250731,213112,update,user5190,192.168.16.29
250721,214911,error,user8827,192.168.245.152
250708,083343,file_access,user1735,192.168.110.29
250706,034456,logout,user6228,192.168.108.73
250727,072000,file_access,user1465,192.168.183.78
250710,204133,login,user5836,192.168.29.150
250731,060311,logout,user6069,192.168.38.40
250728,162817,file_access,user9779,192.168.33.80
250719,061607,file_access,user6367,192.168.86.23
250729,124251,error,user2559,192.168.119.4
250724,153648,logout,user3430,192.168.23.56
250730,183938,login,user6024,192.168.184.126
250722,154101,update,user4095,192.168.215.173
250722,231533,error,user9881,192.168.20.110
250709,181842,error,user7081,192.168.195.55
250716,184241,login,user2721,192.168.211.223
250708,234258,error,user2223,192.168.179.61
250724,181023,file_access,user3499,192.168.46.237
250722,233635,file_access,user8204,192.168.47.229
250703,233640,login,user5564,192.168.245.208
250708,213305,login,user8967,192.168.185.23
250712,000807,file_access,user4088,192.168.162.78
250709,072910,update,user2305,192.168.43.43
250712,183359,file_access,user7591,192.168.162.84
250730,064121,update,user3303,192.168.87.15
250707,020730,update,user7854,192.168.79.25
250728,221035,logout,user9421,192.168.198.27
250702,174552,logout,user6787,192.168.237.204
250720,064521,login,user8948,192.168.84.202
250705,025816,logout,user3810,192.168.74.123
250704,103814,error,user3021,192.168.205.250
250704,153343,file_access,user6135,192.168.109.39
250724,082624,logout,user1565,192.168.61.55
250709,003755,login,user7022,192.168.215.131
250722,070419,error,user4343,192.168.62.31
250713,123029,update,user1128,192.168.59.80
250730,234232,login,user2632,192.168.107.219
250727,120617,error,user5753,192.168.177.168
250725,095529,login,user6997,192.168.78.5
250708,154001,file_access,user4949,192.168.186.106
250707,021504,error,user4046,192.168.159.91
250703,230016,logout,user4154,192.168.237.88
250710,215827,file_access,user6102,192.168.204.225
250716,191714,login,user8386,192.168.6.88
250726,192537,error,user6092,192.168.33.136
250730,152112,update,user5547,192.168.139.89
250731,213704,update,user6604,192.168.207.209
250725,023327,file_access,user6747,192.168.43.79
250719,010250,login,user7918,192.168.72.153
250714,233601,logout,user2133,192.168.141.41
250704,082106,logout,user6497,192.168.240.87
250709,104219,error,user8103,192.168.100.62
250708,160710,login,user7741,192.168.97.143
250713,163640,error,user6768,192.168.186.222
250705,045215,update,user3398,192.168.214.55
250729,090816,file_access,user6261,192.168.164.128
250701,093456,file_access,user3720,192.168.137.143
250712,140135,error,user6994,192.168.90.216
250730,112545,update,user7051,192.168.73.205
250703,171008,file_access,user2435,192.168.116.48
250716,054412,logout,user9271,192.168.84.230
250713,210809,file_access,user5154,192.168.1.206
250720,203456,file_access,user4531,192.168.173.242
250719,190755,logout,user6118,192.168.222.102
250715,174400,login,user1703,192.168.246.22
250724,135209,login,user7971,192.168.77.167
250702,041843,file_access,user6007,192.168.97.75
250708,035716,file_access,user9298,192.168.3.249
250710,003926,logout,user1517,192.168.218.222
250704,013125,logout,user2729,192.168.254.55
250712,153043,update,user1758,192.168.104.95
250711,033012,update,user6093,192.168.104.243
250714,053657,error,user5410,192.168.214.198
250729,114036,update,user2652,192.168.49.183
250720,041713,file_access,user1464,192.168.32.82
250713,003338,logout,user5201,192.168.47.138
250703,030447,logout,user8981,192.168.191.204
250730,012120,file_access,user8946,192.168.209.162
250720,220452,login,user7228,192.168.12.67
250709,011321,logout,user7166,192.168.184.95
250704,201816,update,user2720,192.168.5.220
250731,101412,update,user5753,192.168.142.176
250710,190951,error,user7889,192.168.236.236
250708,101013,file_access,user4704,192.168.219.74
250725,092218,login,user4531,192.168.174.37
250709,151246,error,user9044,192.168.53.51
250703,083921,file_access,user4799,192.168.221.6
250722,110903,file_access,user4737,192.168.177.36
250708,073416,error,user2995,192.168.16.42
250701,121448,login,user6812,192.168.165.236
250728,072317,update,user3458,192.168.239.195
250726,040214,update,user1073,192.168.186.75
250726,021109,update,user5599,192.168.246.188
250729,015922,login,user7133,192.168.97.124
250701,124041,error,user5947,192.168.155.142
250709,151311,error,user5583,192.168.229.146
250702,173510,logout,user8252,192.168.143.172
250708,150518,error,user7688,192.168.69.41
250720,143838,update,user7376,192.168.48.46
250713,102723,error,user3472,192.168.248.75
250730,011651,file_access,user5828,192.168.66.238
250731,144833,error,user8721,192.168.127.87
250728,185803,update,user1606,192.168.48.13
250701,153619,login,user6159,192.168.115.81
250704,003601,error,user3276,192.168.230.209
250713,173103,file_access,user8209,192.168.237.13
250721,181432,file_access,user3948,192.168.181.177
250724,225444,logout,user7479,192.168.250.203
250704,193709,logout,user8792,192.168.213.9
250721,135108,update,user7523,192.168.240.134
250713,180931,update,user7547,192.168.149.23
250715,171344,update,user6701,192.168.112.25
250707,063549,logout,user1825,192.168.123.221
250704,043412,login,user9572,192.168.214.170
250719,094919,file_access,user1159,192.168.239.157
250718,195907,error,user4173,192.168.94.96
250721,003309,login,user9274,192.168.24.182
250702,142758,logout,user9420,192.168.115.210
250705,173312,error,user8641,192.168.97.243
250728,141110,file_access,user8668,192.168.139.242
250726,031958,file_access,user6600,192.168.82.39
250724,152003,file_access,user4801,192.168.152.224
250717,171234,file_access,user7273,192.168.246.233
250717,062554,file_access,user7200,192.168.134.6
250703,150247,error,user5045,192.168.71.193
250724,075605,error,user1456,192.168.60.8
250724,080315,error,user8785,192.168.109.143
250701,024223,login,user6909,192.168.212.105
250723,142951,logout,user6695,192.168.131.128
250706,032744,login,user9002,192.168.18.52
250728,230806,update,user2526,192.168.145.92
250703,022733,file_access,user3346,192.168.64.111
250728,014925,error,user9124,192.168.21.180
250728,062345,update,user6916,192.168.233.175
250717,160243,file_access,user9021,192.168.122.107
250704,150928,update,user7397,192.168.35.14
250726,154225,update,user2355,192.168.48.73
250705,215808,file_access,user6811,192.168.1.98
250725,120656,error,user5601,192.168.204.76
250711,105023,logout,user5203,192.168.137.96
250703,185741,file_access,user3142,192.168.23.84
250706,014920,logout,user3448,192.168.195.86
250719,185918,login,user2736,192.168.9.125
250717,220721,file_access,user1123,192.168.38.138
250723,045304,file_access,user9062,192.168.156.106
250702,170816,login,user8769,192.168.94.57
250713,215415,file_access,user7823,192.168.157.104
250718,182130,login,user6445,192.168.137.58
250710,180429,error,user4836,192.168.76.217
250702,002856,error,user2529,192.168.110.150
250702,173708,update,user8733,192.168.117.37
250729,052856,error,user9475,192.168.161.211
250726,113918,login,user9970,192.168.15.189
250730,051150,update,user7759,192.168.24.181
250718,115514,login,user1911,192.168.216.104
250701,093152,update,user5442,192.168.238.234
250727,053846,update,user5417,192.168.52.87
250716,020012,logout,user3261,192.168.83.78
250714,071248,error,user2284,192.168.228.202
250717,191758,update,user9879,192.168.58.154
250705,034313,error,user9035,192.168.226.136
250728,121543,login,user9367,192.168.71.71
250706,121314,logout,user7073,192.168.75.97
250710,001238,login,user1392,192.168.230.239
250705,150935,error,user2195,192.168.125.197
250725,080143,file_access,user7428,192.168.54.148
250709,004419,error,user1319,192.168.240.116
250729,213006,logout,user9759,192.168.106.63
250723,203820,update,user3464,192.168.123.79
250716,050150,login,user3917,192.168.7.36
250728,210600,update,user5906,192.168.49.159
250730,165455,login,user2873,192.168.33.70
250722,022830,login,user4095,192.168.215.160
250713,151528,error,user5059,192.168.178.111
250716,165628,file_access,user6140,192.168.49.3
250715,035926,login,user8269,192.168.176.64
250731,110553,update,user9271,192.168.171.215
250709,120001,file_access,user3526,192.168.133.31
250722,200214,logout,user1573,192.168.50.240
250723,035422,file_access,user4553,192.168.196.238
250728,031717,file_access,user1666,192.168.137.169
250701,013459,error,user2553,192.168.3.16
250724,222413,login,user1415,192.168.127.254
250702,101710,login,user1949,192.168.15.39
250719,062203,logout,user3094,192.168.122.102
250710,162711,update,user8370,192.168.185.88
250715,010938,logout,user2127,192.168.249.34
250731,063758,update,user8819,192.168.9.139
250723,045913,error,user3162,192.168.251.173
250720,090104,error,user2499,192.168.181.28
250706,094641,update,user4093,192.168.146.28
250702,051640,login,user3413,192.168.160.252
250704,222852,login,user3306,192.168.187.213
250711,181550,file_access,user2141,192.168.42.168
250730,060122,login,user8666,192.168.156.94
250728,043547,logout,user4986,192.168.9.49
250717,151514,login,user2065,192.168.88.65
250721,190050,update,user2687,192.168.220.111
250717,161713,update,user9974,192.168.131.169
250718,174944,file_access,user2444,192.168.150.79
250727,055355,login,user8432,192.168.106.134
250701,015709,logout,user4450,192.168.220.228
250710,083136,login,user9432,192.168.58.176
250708,013225,login,user6556,192.168.94.185
250718,091228,logout,user2068,192.168.36.94
250706,050940,file_access,user8120,192.168.23.86
250716,040950,update,user6222,192.168.236.16
250723,231431,login,user2875,192.168.152.83
250717,073229,error,user3603,192.168.214.130
250704,113436,file_access,user9364,192.168.227.159
250716,101031,logout,user4101,192.168.230.72
250727,044925,file_access,user5035,192.168.154.39
250719,010522,login,user6999,192.168.192.154
250719,214659,error,user3176,192.168.152.39
250718,161830,error,user9346,192.168.12.167
250727,072429,update,user2168,192.168.163.103
250726,005944,login,user2072,192.168.47.216
250712,132609,error,user5482,192.168.158.184
